predictions,Datetime
56693.31641,1/13/2021 18:00
58570.78516,1/13/2021 19:00
55562.53125,1/13/2021 20:00
58339.52734,1/13/2021 21:00
55411.35547,1/13/2021 22:00
57410.37109,1/13/2021 23:00
57514.51953,1/14/2021 0:00
59680.83984,1/14/2021 1:00
57355.37891,1/14/2021 2:00
60191.50391,1/14/2021 3:00
54781.47656,1/14/2021 4:00
59788.60547,1/14/2021 5:00
54547.01953,1/14/2021 6:00
59515.32813,1/14/2021 7:00
55953.57422,1/14/2021 8:00
57670.76953,1/14/2021 9:00
55622.85156,1/14/2021 10:00
57658.72656,1/14/2021 11:00
53266.3125,1/14/2021 12:00
58017.04688,1/14/2021 13:00
52810.16406,1/14/2021 14:00
56888.56641,1/14/2021 15:00
52339.07422,1/14/2021 16:00
56196.53516,1/14/2021 17:00
54545,1/14/2021 18:00
55348.56641,1/14/2021 19:00
51748.54297,1/14/2021 20:00
56695.73828,1/14/2021 21:00
52251.82422,1/14/2021 22:00
56360.82031,1/14/2021 23:00
53020.67969,1/15/2021 0:00
54744.88281,1/15/2021 1:00
54545.28906,1/15/2021 2:00
50541.16797,1/15/2021 3:00
51477.70703,1/15/2021 4:00
52213.48047,1/15/2021 5:00
51232.15234,1/15/2021 6:00
51110.49609,1/15/2021 7:00
50820.57031,1/15/2021 8:00
49920.49219,1/15/2021 9:00
50077.85156,1/15/2021 10:00
51047.80469,1/16/2021 10:00
48867.62109,1/17/2021 10:00
49329.85156,1/18/2021 10:00
50046.89844,1/19/2021 10:00
48687.17578,1/20/2021 10:00
48397.80469,1/21/2021 10:00
48216.22266,1/22/2021 10:00
49110.35156,1/23/2021 10:00
47004.21094,1/24/2021 10:00
50636.64063,1/25/2021 10:00
47108.78516,1/26/2021 10:00
51716.16797,1/27/2021 10:00
48080.02344,1/28/2021 10:00
50678.01563,1/29/2021 10:00
49499.25781,1/30/2021 10:00
51215.03516,1/31/2021 10:00
48477.38281,2/1/2021 10:00
48639.1875,2/2/2021 10:00
48962.76953,2/3/2021 10:00
48918.87109,2/4/2021 10:00
48032.42969,2/5/2021 10:00
48892.01953,2/6/2021 10:00
47457.01953,2/7/2021 10:00
48530.26172,2/8/2021 10:00
47008.79688,2/9/2021 10:00
44446.63672,2/10/2021 10:00
46300.18359,2/11/2021 10:00
43293.96875,2/12/2021 10:00
